word,sentiment,category
terrifying,vices,concreteness
thunderstruck,vices,concreteness
tiresome,vices,concreteness
tuneless,vices,concreteness
undefeatable,vices,concreteness
unguarded,vices,concreteness
unheeded,vices,concreteness
unrevealing,vices,concreteness
unseasonable,vices,concreteness
untutored,vices,concreteness
unwedded,vices,concreteness
abiding,vices,concreteness
accustomed,vices,concreteness
achievable,vices,concreteness
advantageous,vices,concreteness
agreeable,vices,concreteness
alarming,vices,concreteness
alluring,vices,concreteness
antagonistic,vices,concreteness
arrogant,vices,concreteness
aseptic,vices,concreteness
assertive,vices,concreteness
avenging,vices,concreteness
bookish,vices,concreteness
boring,vices,concreteness
bountiful,vices,concreteness
brilliant,vices,concreteness
burdensome,vices,concreteness
categorical,vices,concreteness
certifiable,vices,concreteness
civil,vices,concreteness
coercive,vices,concreteness
common,vices,concreteness
consecrated,vices,concreteness
costly,vices,concreteness
defensive,vices,concreteness
defiant,vices,concreteness
definite,vices,concreteness
developmental,vices,concreteness
directional,vices,concreteness
easy,vices,concreteness
egocentric,vices,concreteness
emergent,vices,concreteness
enchanted,vices,concreteness
enchanting,vices,concreteness
extracurricular,vices,concreteness
famous,vices,concreteness
flagrant,vices,concreteness
forceful,vices,concreteness
fruitless,vices,concreteness
hateful,vices,concreteness
helpless,vices,concreteness
horrendous,vices,concreteness
immoderate,vices,concreteness
immodest,vices,concreteness
impressive,vices,concreteness
inconspicuous,vices,concreteness
inconstant,vices,concreteness
inconvertible,vices,concreteness
incorrect,vices,concreteness
indelicate,vices,concreteness
indispensable,vices,concreteness
intimate,vices,concreteness
jaded,vices,concreteness
latest,vices,concreteness
laughable,vices,concreteness
listless,vices,concreteness
logarithmic,vices,concreteness
logistical,vices,concreteness
mega,vices,concreteness
mystical,vices,concreteness
narcissistic,vices,concreteness
nonphysical,vices,concreteness
nosy,vices,concreteness
obvious,vices,concreteness
occupational,vices,concreteness
original,vices,concreteness
overindulgent,vices,concreteness
periodic,vices,concreteness
praiseworthy,vices,concreteness
prejudicial,vices,concreteness
proud,vices,concreteness
provisional,vices,concreteness
ready,vices,concreteness
realistic,vices,concreteness
regretful,vices,concreteness
sacrificial,vices,concreteness
sadistic,vices,concreteness
satisfied,vices,concreteness
serene,vices,concreteness
successful,vices,concreteness
terrific,vices,concreteness
thrilling,vices,concreteness
tolerant,vices,concreteness
unadulterated,vices,concreteness
unbiased,vices,concreteness
uncomfortable,vices,concreteness
uncommunicative,vices,concreteness
unconcerned,vices,concreteness
uncreative,vices,concreteness
undeserved,vices,concreteness
unformed,vices,concreteness
ungracious,vices,concreteness
unified,vices,concreteness
unintelligible,vices,concreteness
unobserved,vices,concreteness
unpopular,vices,concreteness
unprepared,vices,concreteness
unprogressive,vices,concreteness
unreachable,vices,concreteness
unreported,vices,concreteness
unshakable,vices,concreteness
untamed,vices,concreteness
unworldly,vices,concreteness
warrantless,vices,concreteness
willing,vices,concreteness
wistful,vices,concreteness
youngish,vices,concreteness
finicky,vices,concreteness
consumptive,vices,concreteness
despairing,vices,concreteness
disapproving,vices,concreteness
perceptible,vices,concreteness
actionable,vices,concreteness
airy,vices,concreteness
ambient,vices,concreteness
ancient,vices,concreteness
ballsy,vices,concreteness
bodacious,vices,concreteness
cagey,vices,concreteness
campy,vices,concreteness
cataclysmic,vices,concreteness
chastened,vices,concreteness
chauvinistic,vices,concreteness
chivalrous,vices,concreteness
commensurate,vices,concreteness
compositional,vices,concreteness
concealable,vices,concreteness
conditional,vices,concreteness
congenial,vices,concreteness
constant,vices,concreteness
counteractive,vices,concreteness
datable,vices,concreteness
debatable,vices,concreteness
decent,vices,concreteness
degenerate,vices,concreteness
